cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6
,929013756#1-AddedOnRampEdge,,34998006#9,,,
,97685728#1,,1042122375#1,,,
,39629431#2,,-32812321,,,
,151329169#3,,-75259451#5,,,
,606147470#1,,-463284093#0,,,
,4849049,,237528239#4,,,
,1026056857#4,,91854866,,,
,95277526#10,,91017767#2,,,
,760752371#3,,258303760#0,,,
,33847144#8,,-254326649,,,
,1132178318#0,,-265271589,,,
,40969585#0,,81606324#5,,,
,139085562#1,,-34951246,,,
,46869645#3,,91854859,,,
,47025799#2,,46982274#2,,,
,315233373#2,,280266451#3,,,
,690198420#0,,196314946,,,
,-904911912,,149415584,,,
,4848928#3,,89234350#2,,,
,-69963032#3,,-918334710#1,,,
,99591224,,264459842#0,,,
,680788592#2,,89419198,,,
,315233373#0,,-254326623#0,,,
,538982927#4,,81606324#2,,,
,196380141#4,,543209655#2,,,
,39629578#13,,-516537246,,,
,4848932#4,,199311794#4,,,
,879780889,,-23260460#3,,,
,240388169#1,,254325088,,,
,69963039#1,,332390573#1,,,
,319196850#6,,91216434#1,,,
,895804510#2,,-89828152#1,,,
,879780891#4,,-570457257#2,,,
,539237086#2,,32812366#3,,,
,759379782#4,,91854885#0,,,
,929013758#2,,-217860244,,,
,660988514#2,,254326637#0,,,
,39629550#1,,22720674#0,,,
,440392835#2,,-89418356#1,,,
,47025799#5,,32122515#3,,,
,459561640#0,,-55686075#2,,,
,-139718199,,277789325#6,,,
,895804510#0,,-24060958#4,,,
,-1070720646#1,,-170598717#1,,,
,257233099#0,,52517546#0,,,
,33847144#4,,89419986#3,,,
,538982927#6,,91854885#4,,,
,139085562#3,,-653717627#1,,,
,1245147127#1,,141597712,,,
,27695605#2,,199311794#0,,,
,342481201#7,,328531790#3,,,
,319195387#2,,23753878#0,,,
,59263148#0,,1133878589#0,,,
,440392835#0,,89420436#1,,,
,319195388#3,,89419989,,,
,879780893,,89206672#2,,,
,172598650#3,,34949380#6,,,
,942581083,,1039902221#0,,,
,651701877#0,,292495150#1,,,
,160074527,,-33118881#1,,,
,4848932#8,,154093154,,,
,172665597#0,,89185075#5,,,
,39520581#2,,-1104675206,,,
,33847143#1,,540722039,,,
,-147812381#0,,33050418#2,,,
,44049166#5,,89419990#0,,,
,97685642#1,,503056675,,,
,539237085#0,,35777909#1,,,
,718432415#0,,958537535#6,,,
,97685613#2,,-89430674,,,
,680788592#4,,463284095#0,,,
,97685613#1,,328531790#7,,,
,580847357#1,,264459821#0,,,
,459561641#0-AddedOnRampEdge,,89419196#0,,,
,95274341#0,,89213772#6,,,
,151313104#1,,33640794#8,,,
,319195387#9,,254326637#5,,,
,39520581#4,,683454879#0,,,
,539237084#4,,542264756#4,,,
,59266960#3,,24060958#2,,,
,929013756#0,,1019987802#3,,,
,139718208,,89430685#3,,,
,883261848#0,,34950625#3,,,
,929013755#1,,89418364#1,,,
,39169192#1,,-23260462#4,,,
,240595361#3,,-33118881#2,,,
,151313104#0,,682262118#0,,,
,39629550#3,,471186044,,,
,39629550#0,,34950625#2,,,
,760933235,,47072152#1,,,
,95277526#12,,89430672,,,
,319195387#4,,446301624,,,
,95277526#3,,23753878#1,,,
,-660988514#2,,-55686275,,,
,680788593#1,,-91854864,,,
,1103811023,,-91534582,,,
,342481197#1,,89430680#2,,,
,139082447,,-141597714,,,
,-158180857,,89430678#0,,,
,39629578#0,,264459843#10,,,
,39629431#0,,-264459842#2,,,
,33847144#0,,-199311782#1,,,
,282055760#0,,-89420432#0,,,
,203572499,,89417144#1,,,
,139718219#0,,328531828#6,,,
,760752371#0,,23260462#3,,,
,884274229#4,,438080424#0,,,
,1025991803#1,,301494973#0,,,
,-139718226#1,,170598717#0,,,
,1158715738#1,,469105035#0,,,
,759379782#2,,89430678#1,,,
,88690557#1,,156642443#0,,,
,894991909#4,,-217858092,,,
,69963039#2,,517921702#3,,,
,929013763,,471186043#0,,,
,95277526#5,,682262115#0,,,
,606147470#0,,328531825#2,,,
,651701877#2,,23443416#0,,,
,1245147126#1,,956154645#0,,,
,139085561#2,,-1133878590,,,
,69962700#1,,199311798#2,,,
,760734685#3,,34950844#4,,,
,4848928#4,,-72463458#1,,,
,172598650#1,,-89418355#1,,,
,736973905#1,,49683444,,,
,932390016#1,,89417153,,,
,676291217#2,,-301494972#0,,,
,4848932#0,,-447922896,,,
,-651701877#0,,-91854875#1,,,
,539237084#1,,47127860#1,,,
,929013756#1,,543209655#4,,,
,282055760#3,,-85568111#0,,,
,243268914#0,,-34951053#0,,,
,139718225#2,,89216424#1,,,
,539237085#2,,-1025830855#1,,,
,44049166#4,,32812356#1,,,
,97685735,,-543055421#1,,,
,968060910#3,,-254326652#0,,,
,-240595359#1,,-91854853#0,,,
,879780894,,52924701#0,,,
,4848928#0,,-254325085,,,
,883261847#4,,-265271584#0,,,
,667962675#1,,48391166#0,,,
,151329184#3,,32122517#1,,,
,97671348#1,,-89430683#0,,,
,95282572#5,,91848892,,,
,178899419#1,,89185075#3,,,
,95396808#2,,1042122375#3,,,
,257357807#1,,682262110#3,,,
,-95274339#1,,460851984#1,,,
,335539639#2,,277789325#0,,,
,-97671375#1,,95399107#1,,,
,97671348#2,,47072155,,,
,46151431#4,,-91854859,,,
,178899418#0,,517927340#2,,,
,273211078#2,,-24060958#12,,,
,157296589#1,,1039905092#0,,,
,46151431#0,,701150074,,,
,95396794#1,,-196314946,,,
,257357819#3,,89430686#1,,,
,-97672287#2,,-254325088,,,
,-95282572#7,,55686195#4,,,
,97671336#0,,681548654#1,,,
,-95396805#0,,91854870#0,,,
,257357819#0,,254326646#2,,,
,95282572#6,,220470666#0,,,
,335539639#3,,23260460#4,,,
,46151425#1,,-91854885#4,,,
,368086015#6,,562912001#3,,,
,95282584#2,,48391175#2,,,
,368086014,,85568120#6,,,
,97672288#2,,193618812#7,,,
,-97672287#1,,-1133878589#1,,,
,178899417#4,,254326644#0,,,
,97671481,,574761079,,,
,-97672291#1,,48788423#0,,,
,95396808#1,,264459839#1,,,
,178899417#1,,85568120#5,,,
,97672294#1,,149415589,,,
,22562788#0,,531013210#2,,,
,-46151425#0,,41519033#0,,,
,95282584#0,,,,,
,257357807#0,,,,,
,97672287#0,,,,,
,-273211103#5,,,,,
,178899417#2,,,,,
,95396808#0,,,,,
,46151435#3,,,,,
,95396830#0,,,,,
,95396794#2,,,,,
,46151432#0,,,,,
,97671352,,,,,
,97672285#1,,,,,
,-46151431#2,,,,,
,-178899417#0,,,,,
,46151435#8,,,,,
,-95282572#6,,,,,
,97672292#0,,,,,
,97672283#2,,,,,
,-178899417#4,,,,,
,-97672283#1,,,,,
,97671381#0,,,,,
,-97672286#1,,,,,
,97672293#1,,,,,
,178899417#5,,,,,
,168663972#5,,,,,
,178899421#0,,,,,
,-178899417#3,,,,,
,178899419#2,,,,,
,95396769#0,,,,,
,-335539639#4,,,,,
,199152211#3,,,,,
,97671395#4,,,,,
,-97672287#0,,,,,
,-97671473#2,,,,,
,-95396805#1,,,,,
,95396827#0,,,,,
,97671410#2,,,,,
,97671336#1,,,,,
,97672281#0,,,,,
,95396794#0,,,,,
,97671381#1,,,,,
,179260409#3,,,,,
,95396769#1,,,,,
,-273211103#6,,,,,
,-95282572#3,,,,,
,95396853#4,,,,,
,-97671352,,,,,
,97671375#1,,,,,
,178898388,,,,,
,-97671473#1,,,,,
,46151435#6,,,,,
,97671336#3,,,,,
,-97672288#3,,,,,
,97671336#2,,,,,
,-97672283#2,,,,,
,-178899417#5,,,,,
,179260409#2,,,,,
,97672287#2,,,,,
,97671471#3,,,,,
,95282572#7,,,,,
,95282584#3,,,,,
,97672292#1,,,,,
,97672281#1,,,,,
,257357819#2,,,,,
,-46151431#6,,,,,
,604041501,,,,,
,97672291#1,,,,,
,97672290#0,,,,,
,-157279305,,,,,
,-97671410#2,,,,,
,-273211103#2,,,,,
,273211103#5,,,,,
,97672294#0,,,,,
,46151435#5,,,,,
,-97671375#0,,,,,
,97685751#0,,,,,
,97671395#1,,,,,
,95396830#1,,,,,
,95396848#0,,,,,
,58704022#5,,,,,
,335539639#1,,,,,
,97672288#1,,,,,
,46151431#2,,,,,
,178899417#0,,,,,
,97672294#2,,,,,
,97671460,,,,,
,-97672292#1,,,,,
,97671390#3,,,,,
,46151435#4,,,,,
,95396846#1,,,,,
,-95396805#2,,,,,
,-604041501,,,,,
,97672285#0,,,,,
,97672283#1,,,,,
,97672286#1,,,,,
,178899417#3,,,,,
,335539639#4,,,,,
,46151435#10,,,,,
,97672290#1,,,,,
,95396781#3,,,,,
,97671473#2,,,,,
,95396805#1,,,,,
,257357805#1,,,,,
,97671471#1,,,,,
,95396853#1,,,,,
,95396853#3,,,,,
,273211103#7,,,,,
,97671395#7,,,,,
,95396757#0,,,,,
,273211103#6,,,,,
,95282572#3,,,,,
,-335539639#1,,,,,
,-97672288#1,,,,,
,97672290#3,,,,,
,97671473#1,,,,,
,-273211078#4,,,,,
,199152211#1,,,,,
,179260409#1,,,,,
,199152211#4,,,,,
,178899419#0,,,,,
,46151432#5,,,,,
,97685717#1,,,,,
,95396853#2,,,,,
,97672288#3,,,,,
,97671440,,,,,
,-95282572#1,,,,,
,257357819#1,,,,,
,-95282572#8,,,,,
,97671395#2,,,,,
,97671395#6,,,,,
,97671346,,,,,
,97685717#0,,,,,
,97671390#0,,,,,
,46151431#6,,,,,
,97671395#3,,,,,
,95396781#1,,,,,
,157279305,,,,,
,-335539651#0,,,,,
,97672286#0,,,,,
,273211103#2,,,,,
,-95282572#0,,,,,
,-46151431#5,,,,,
,97671375#0,,,,,
,-95282545#2,,,,,
,-276139664,,,,,
,97672290#2,,,,,
,95282545#1,,,,,
,95396781#2,,,,,
,178899421#1,,,,,
,-97672293#0,,,,,
,-97671410#1,,,,,
,-95282545#0,,,,,
,46151431#3,,,,,
,97671348#0,,,,,
,97671395#5,,,,,
,97671381#2,,,,,
,-97671473#0,,,,,
,95396839,,,,,
,95396827#2,,,,,
,178899421#2,,,,,
,95396757#3,,,,,
,95396805#2,,,,,
,335539639#0,,,,,
,-157279302,,,,,
,199152211#2,,,,,
,95396848#2,,,,,
,-97672286#0,,,,,
,22562788#1,,,,,
,95396853#0,,,,,
,178899418#1,,,,,
,46151432#3,,,,,
,-97672291#0,,,,,
,95396848#1,,,,,
,-95282545#1,,,,,
,97672282,,,,,
,-46151431#3,,,,,
,-273211078#3,,,,,
,273211078#4,,,,,
,-97672288#0,,,,,
,-95396827#2,,,,,
,97671390#2,,,,,
,-335539639#0,,,,,
,95282572#1,,,,,
,-273211078#0,,,,,
,95282572#8,,,,,
,257357805#0,,,,,
,46151435#1,,,,,
,46151432#2,,,,,
,-22562788#1,,,,,
,46151435#9,,,,,
,46151435#0,,,,,
,95396846#2,,,,,
,46151432#4,,,,,
,-95282572#5,,,,,
,-335539639#2,,,,,
,46151436#0,,,,,
,46151431#5,,,,,
,-46151431#4,,,,,
,97672281#2,,,,,
,95282545#2,,,,,
,-273211078#2,,,,,
,335539651#1,,,,,
,-46151431#0,,,,,
,273211078#1,,,,,
,276139664,,,,,
,95396781#0,,,,,
,97671471#0,,,,,
,95396830#2,,,,,
,97672293#0,,,,,
,97671410#1,,,,,
,178899419#5,,,,,
,22562788#2,,,,,
,97671432,,,,,
,-335539639#3,,,,,
,-46151425#1,,,,,
,95396846#0,,,,,
,-257357805#0,,,,,
,157249375,,,,,
,611278104#1,,,,,
,-97672288#2,,,,,
,-178899417#1,,,,,
,-22562788#0,,,,,
,243800062,,,,,
,97671390#1,,,,,
,157279302,,,,,
,-178899417#2,,,,,
,97685751#1,,,,,
,199152211#0,,,,,
,46151435#2,,,,,
,368086013,,,,,
,97672291#0,,,,,
,-335539651#1,,,,,
,-273211078#1,,,,,
,97671381#3,,,,,
,95274339#1,,,,,
,95396757#1,,,,,
,157292774,,,,,
,273211078#3,,,,,
,-97672292#0,,,,,
,97672288#0,,,,,
,97671471#2,,,,,
,-97672293#1,,,,,
,157296589#2,,,,,
,95396757#2,,,,,
,95396805#0,,,,,
,611278105,,,,,
,273211078#0,,,,,
,-95396827#0,,,,,
,97672287#1,,,,,
,46151432#1,,,,,
,178899419#3,,,,,
,199152211#5,,,,,
,257357807#2,,,,,
,97671395#0,,,,,
,178899419#4,,,,,
,46151425#0,,,,,
,968221178,,,,,
,-413095251#2,,,,,
,854239336#2,,,,,
,-159625689#0,,,,,
,891285334,,,,,
,-154824596#1,,,,,
,47905475#11,,,,,
,-146744473#0,,,,,
,134192154#0,,,,,
,-891285338#1,,,,,
,-146744473#3,,,,,
,47905475#9,,,,,
,-134923821#0,,,,,
,146744472#0,,,,,
,759287234#1,,,,,
,-1278542561,,,,,
,208646345,,,,,
,253812419#0,,,,,
,208646342,,,,,
,598962880,,,,,
,134923801#2,,,,,
,-159625689#1,,,,,
,47905475#2,,,,,
,47905475#10,,,,,
,-968221178,,,,,
,759287234#0-AddedOffRampEdge,,,,,
,134923802#2,,,,,
,47905475#5,,,,,
,968218279#0,,,,,
,-47905475#11,,,,,
,59254369#1,,,,,
,186846963#0,,,,,
,154824596#0,,,,,
,-146744472#0,,,,,
,-208646342,,,,,
,354858501,,,,,
,139085555,,,,,
,134923819#0,,,,,
,-47905475#10,,,,,
,69962703#1,,,,,
,139082412#1,,,,,
,45174351#0,,,,,
,-186846963#1,,,,,
,413095251#2,,,,,
,134923812#1,,,,,
,-146744473#2,,,,,
,151329169#9,,,,,
,1278542562,,,,,
,-968218276,,,,,
,891285338#0,,,,,
,146744473#1,,,,,
,759287234#2,,,,,
,-139085555,,,,,
,854239336#6,,,,,
,150868759#0,,,,,
,134923821#0,,,,,
,431519956#1,,,,,
,-150868759#1,,,,,
,-47905475#1,,,,,
,159625689#1,,,,,
,134923802#5,,,,,
,968218275#0,,,,,
,208646339,,,,,
,-211240835#2,,,,,
,-47025795,,,,,
,134923819#2,,,,,
,-45242991#2,,,,,
,-47905475#8,,,,,
,25868299,,,,,
,-1108009356,,,,,
,134923802#3,,,,,
,-146744473#1,,,,,
,-150868759#0,,,,,
,-1030288624#0,,,,,
,253812419#2,,,,,
,-47905475#0,,,,,
,-146744467,,,,,
,-186846961#3,,,,,
,-146744471#0,,,,,
,134923812#0,,,,,
,-208646339,,,,,
,-1030281993#3,,,,,
,-598962877,,,,,
,968218274#0,,,,,
,413095251#0,,,,,
,1030281243,,,,,
,-134923810,,,,,
,134923812#2,,,,,
,968218278#2,,,,,
,282055767#1,,,,,
,-25868299,,,,,
,354858481#0,,,,,
,186846961#0,,,,,
,968218278#3,,,,,
,134923819#1,,,,,
,134923821#1,,,,,
,146744473#2,,,,,
,59254378#4,,,,,
,968218276,,,,,
,59254369#0,,,,,
,69962703#0,,,,,
,150868759#1,,,,,
,47905475#1,,,,,
,134923801#0,,,,,
,-413095251#0,,,,,
,211240835#2,,,,,
,47025795,,,,,
,-186846961#0,,,,,
,-134923821#1,,,,,
,45242991#2,,,,,
,47905475#8,,,,,
,45242995#8,,,,,
,-146744471#1,,,,,
,134192154#3,,,,,
,854239336#5,,,,,
,1108009356,,,,,
,282055767#2,,,,,
,1030288624#0,,,,,
,854239336#3,,,,,
,47905475#0,,,,,
,146744467,,,,,
,186846961#1,,,,,
,25824165#0,,,,,
,59254378#1,,,,,
,-431524249,,,,,
,146744471#0,,,,,
,186846962#0,,,,,
,1030281993#0,,,,,
,598962877,,,,,
,-59254370#2,,,,,
,134923810,,,,,
,968218277#0,,,,,
,-211240835#0,,,,,
,134923801#3,,,,,
,642608817#2,,,,,
,-1278542560,,,,,
,134923819#3,,,,,
,968218278#4,,,,,
,968218277#2,,,,,
,134923802#4,,,,,
,431519955#0,,,,,
,45174351#1,,,,,
,642608819,,,,,
,146744466,,,,,
,151474633,,,,,
,150868759#2,,,,,
,-186846962#1,,,,,
,59254378#3,,,,,
,45242992#1,,,,,
,69962703#2,,,,,
,134923802#0,,,,,
,759287234#3,,,,,
,139082412#0,,,,,
,146744472#1,,,,,
,59254370#3,,,,,
,208646346,,,,,
,134923801#4,,,,,
,968218278#0,,,,,
,146744471#1,,,,,
,45242993,,,,,
,-47905475#9,,,,,
,-146744466,,,,,
,282055767#0,,,,,
,1030288624#1,,,,,
,45242991#0,,,,,
,-208646345,,,,,
,134923802#1,,,,,
,759287234#0,,,,,
,-150868759#2,,,,,
,-47905475#4,,,,,
,431524249,,,,,
,186846962#2,,,,,
,134923821#3,,,,,
,-47905475#7,,,,,
,-146744472#1,,,,,
,-968218279#4,,,,,
,59254370#0,,,,,
,-59254370#6,,,,,
,-208646346,,,,,
,211240823,,,,,
,159625689#0,,,,,
,-154824596#0,,,,,
,-139085551,,,,,
,154824596#1,,,,,
,-1030288624#2,,,,,
,-45242991#1,,,,,
,642608817#5,,,,,
,891285336#0,,,,,
,642608817#0,,,,,
,146744473#3,,,,,
,45242996#0,,,,,
,-354858501,,,,,
,431519954,,,,,
,146744473#4,,,,,
,-186846962#2,,,,,
,-134923821#3,,,,,
,23260765#1,,,,,
,690601674,,,,,
,174757575,,,,,
,21957625#1,,,,,
,263956787#0,,,,,
,203035366#0,,,,,
,27085151#7,,,,,
,23260765#0,,,,,
,993526140,,,,,
,139504332#1,,,,,
,1105155924,,,,,
,436862683#0,,,,,
,147801987#0,,,,,
,72465971#4,,,,,
,269039964,,,,,
,-203035387#3,,,,,
,59266960#1,,,,,
,203133457#0,,,,,
,89043372,,,,,
,1196926578,,,,,
,436042878,,,,,
,72465971#1,,,,,
,232802296#3,,,,,
,-1254262172#2,,,,,
,227081759,,,,,
,647930457#0,,,,,
,257233105#3,,,,,
,174758265#0,,,,,
,550689175#2,,,,,
,196380156,,,,,
,-371560393#2,,,,,
,203035351#0,,,,,
,24461574#0,,,,,
,90795016,,,,,
,196380149#0,,,,,
,23874647,,,,,
,23815145#0,,,,,
,1105155927,,,,,
,31046191#0,,,,,
,40969565#0,,,,,
,92219075#2,,,,,
,-263956787#0,,,,,
,1065038799#0,,,,,
,23579065#1,,,,,
,517127275#0-AddedOnRampEdge,,,,,
,196380137#0,,,,,
,1254563378#0,,,,,
,203035379#0,,,,,
,51933184#4,,,,,
,23261468#0,,,,,
,92403874#0,,,,,
,1254262177#0,,,,,
,263956787#1,,,,,
,274503992#1,,,,,
,42294745#2,,,,,
,269039975#0,,,,,
,152413934#3,,,,,
,145397104#1,,,,,
,145405916,,,,,
,-436042878,,,,,
,-286703474#2,,,,,
,27085151#5,,,,,
,51933186#2,,,,,
,-227081759,,,,,
,174757564#2,,,,,
,92243929,,,,,
,-550689175#3,,,,,
,517127276#0,,,,,
,72465972,,,,,
,-1031963654#1,,,,,
,958539573#0,,,,,
,24461574#2,,,,,
,1031963656#2,,,,,
,174758259#0,,,,,
,51933186#1,,,,,
,342448077#3,,,,,
,631239772#0,,,,,
,1104965190,,,,,
,1254563376,,,,,
,232802296#1,,,,,
,152413934#5,,,,,
,286703470#0,,,,,
,-145405917#1,,,,,
,387312965#0,,,,,
,174758259#2,,,,,
,27085151#0,,,,,
,-174757564#1,,,,,
,51933184#0,,,,,
,286703486#0,,,,,
,1196926577#1,,,,,
,23260464#0,,,,,
,23579065#0,,,,,
,239796983#0,,,,,
,158180858,,,,,
,254328041,,,,,
,51933184#2,,,,,
,23579065#2,,,,,
,174758265#2,,,,,
,691015446#1,,,,,
,203035387#3,,,,,
,51933184#3,,,,,
,550689174,,,,,
,-72465972,,,,,
,174757576,,,,,
,1254563377,,,,,
,-1031963656#3,,,,,
,22730601#1,,,,,
,269039960,,,,,
,92219075#0,,,,,
,196380152#2,,,,,
,38790699#4,,,,,
,23579065#8,,,,,
,152413934#0,,,,,
,-153190951#2,,,,,
,-1031963656#2,,,,,
,33847140,,,,,
,371560393#0,,,,,
,196380133,,,,,
,92403812#0-AddedOffRampEdge,,,,,
,-1254563376,,,,,
,538982921#0,,,,,
,254711096#0,,,,,
,92219077#0,,,,,
,-147801989,,,,,
,257233098#3,,,,,
,92403812#3,,,,,
,538982923#1,,,,,
,23261468#1,,,,,
,-265068932,,,,,
,1105155921#0,,,,,
,263956786,,,,,
,-1254563377,,,,,
,145405910#1,,,,,
,286703474#2,,,,,
,203035354#3,,,,,
,163198807#0,,,,,
,1126405651,,,,,
,274503992#0,,,,,
,538982923#3,,,,,
,1031963654#0,,,,,
,392936653#0,,,,,
,31046191#2,,,,,
,92403812#0,,,,,
,-23578870#1,,,,,
,203035348#0,,,,,
,537438905#1,,,,,
,-389357542#3,,,,,
,40969570#0,,,,,
,-257233098#5,,,,,
,128703671#0,,,,,
,39520757#0,,,,,
,-257233105#1,,,,,
,287006578#0,,,,,
,145405917#0,,,,,
,-174757567#1,,,,,
,174757564#0,,,,,
,657589863#0,,,,,
,1245149971,,,,,
,273211040,,,,,
,-23260465,,,,,
,-1031963656#0,,,,,
,-263956786,,,,,
,-257233105#0,,,,,
,1031963656#4,,,,,
,257357817#0,,,,,
,1031963656#3,,,,,
,993526142#0,,,,,
,203035346,,,,,
,196380145,,,,,
,203035387#0,,,,,
,-286703474#1,,,,,
,254711100#3,,,,,
,153190951#0,,,,,
,-40969570#1,,,,,
,265068939#0,,,,,
,1105155925#0,,,,,
,145405914#0,,,,,
,-203035386,,,,,
,647930456#2-AddedOnRampEdge,,,,,
,92219072,,,,,
,257233098#0,,,,,
,691011135,,,,,
,436862684,,,,,
,691011141,,,,,
,862139022#0,,,,,
,147801989,,,,,
,51933184#1,,,,,
,144508549#0,,,,,
,-1031963656#5,,,,,
,-196380138#2,,,,,
,196380139#0,,,,,
,203035357,,,,,
,-227081771,,,,,
,196380152#0,,,,,
,287006577,,,,,
,265068932,,,,,
,-257233105#2,,,,,
,-203035387#2,,,,,
,152413923#0,,,,,
,691011143,,,,,
,1254563378#2,,,,,
,269150825#0,,,,,
,1196926577#0,,,,,
,691015446#0,,,,,
,-92219086,,,,,
,196380147#0,,,,,
,1031963658#0,,,,,
,39520757#1,,,,,
,23578870#1,,,,,
,1254563380#0,,,,,
,1031963657#0,,,,,
,-257233098#2,,,,,
,27085151#8,,,,,
,163198815#0,,,,,
,174757591#1,,,,,
,389357542#0,,,,,
,-550689175#1,,,,,
,-23578870#2,,,,,
,92219075#1,,,,,
,862139022#0-AddedOffRampEdge,,,,,
,257233105#1,,,,,
,174757567#0,,,,,
,445409146,,,,,
,-24061006#2,,,,,
,-287006577,,,,,
,884082444,,,,,
,-59262030,,,,,
,1254262171#0,,,,,
,1031963656#0,,,,,
,203035379#7,,,,,
,257233105#0,,,,,
,23260765#5,,,,,
,51933192,,,,,
,203035347,,,,,
,51933186#0,,,,,
,178989940#0,,,,,
,-550689175#6,,,,,
,203301447,,,,,
,538982923#4,,,,,
,263956785,,,,,
,-1031963658#4,,,,,
,286703474#0,,,,,
,23260765#7,,,,,
,40969565#1,,,,,
,152413934#2,,,,,
,203035354#2,,,,,
,254711100#0,,,,,
,59266960#0,,,,,
,387312973#1,,,,,
,39520757#2,,,,,
,-147801987#2,,,,,
,-72465971#6,,,,,
,174758263,,,,,
,203035379#3,,,,,
,22730601#1-AddedOnRampEdge,,,,,
,-203133457#1,,,,,
,196380138#0,,,,,
,-89043372,,,,,
,145405919#0,,,,,
,42294745#3,,,,,
,227081771,,,,,
,-72465971#3,,,,,
,273211149#0,,,,,
,-257233105#5,,,,,
,1004202301#0,,,,,
,257233105#2,,,,,
,286703492#0,,,,,
,152413934#4,,,,,
,691011140,,,,,
,92206657,,,,,
,-23874647,,,,,
,1196926577#2,,,,,
,92219086,,,,,
,647930456#2,,,,,
,92403739,,,,,
,21957625#0,,,,,
,387312967#1,,,,,
,203035355,,,,,
,538982925#3,,,,,
,667863965#3,,,,,
,203035354#1,,,,,
,-92403874#0,,,,,
,550689175#0,,,,,
,23578870#2,,,,,
,-263956787#1,,,,,
,-145397104#1,,,,,
,59266960#2,,,,,
,-216895901,,,,,
,690601673#0,,,,,
,24061006#0,,,,,
,1105155926,,,,,
,436862683#1,,,,,
,884082446,,,,,
,59262030,,,,,
,-174757564#4,,,,,
,691015447#1,,,,,
,647930456#1,,,,,
,342448077#0,,,,,
,974064479#0,,,,,
,1105524769#0,,,,,
,387312972#1,,,,,
,257228938#0,,,,,
,550689175#4,,,,,
,958539572#0,,,,,
,1254262172#0,,,,,
,174758265#1,,,,,
,203035379#2,,,,,
,23579065#6,,,,,
,667863965#1,,,,,
,254711100#2,,,,,
,1057198633,,,,,
,-71367237,,,,,
,47111169#0,,,,,
,-44886286#1,,,,,
,-47113636#14,,,,,
,728136201#4,,,,,
,398675574#2,,,,,
,271934577#1,,,,,
,47113630#0,,,,,
,1058036879#1,,,,,
,45663908#0,,,,,
,47113642#0,,,,,
,-1056405594#2,,,,,
,47981647#1,,,,,
,-724540987#1,,,,,
,-136400684#11,,,,,
,1058036874#0,,,,,
,164774173#2,,,,,
,796894966#9,,,,,
,71367225#1,,,,,
,44886285#2,,,,,
,71367244,,,,,
,-151560757#0,,,,,
,297026346#2,,,,,
,23604986#0,,,,,
,47113620#1,,,,,
,1195136380,,,,,
,-1056874653#3,,,,,
,579777156,,,,,
,749803802#12,,,,,
,190527310#1,,,,,
,151560714#2,,,,,
,47113644#1,,,,,
,41529971#1,,,,,
,149986653,,,,,
,47981601#6,,,,,
,-60185722#2,,,,,
,1229651927#0,,,,,
,-1056408312,,,,,
,136400684#9,,,,,
,1058036873#1,,,,,
,1057198632#0,,,,,
,-47113636#10,,,,,
,60185726,,,,,
,149852649#0,,,,,
,1057215456,,,,,
,-47981601#9,,,,,
,-190521610#4,,,,,
,47113624#2,,,,,
,136400684#2,,,,,
,44886287#0,,,,,
,-1057215458#2,,,,,
,462324823#2,,,,,
,1058027400#2,,,,,
,-302028394#0,,,,,
,149986664#0,,,,,
,136400684#14,,,,,
,190527312#1,,,,,
,44886288#1,,,,,
,190898553#2,,,,,
,1058027400#4,,,,,
,47113636#15,,,,,
,72843620#0,,,,,
,-199783479,,,,,
,164774174#1,,,,,
,-72843607#1,,,,,
,47114116#2,,,,,
,-164774173#4,,,,,
,-151801165#2,,,,,
,-796894969#2,,,,,
,777680434,,,,,
,313310947#0,,,,,
,878626252,,,,,
,44885597#6,,,,,
,47113651#1,,,,,
,149986664#1,,,,,
,47113644#0,,,,,
,59584804#0,,,,,
,-749803802#5,,,,,
,-194569422,,,,,
,1124066513#0,,,,,
,-47981602#0,,,,,
,-1229890434,,,,,
,199783481,,,,,
,-231449996,,,,,
,1056874654#0,,,,,
,-47981601#4,,,,,
,1066886860#0,,,,,
,1066890910#0,,,,,
,47113630#4,,,,,
,190533567#1,,,,,
,1058036870#0,,,,,
,681031181#0,,,,,
,41529969,,,,,
,46876487,,,,,
,271934577#2,,,,,
,303736644#1,,,,,
,1057215462#0,,,,,
,297026357,,,,,
,-148940705#2,,,,,
,-47981647#0,,,,,
,386246055#1,,,,,
,151560793,,,,,
,46876069#0,,,,,
,-72843607#3,,,,,
,-224195459#2,,,,,
,-297026345#2,,,,,
,-164774174#0,,,,,
,136400684#6,,,,,
,-313310947#2,,,,,
,-190898553#4,,,,,
,-44886288#0,,,,,
,44885597#5,,,,,
,-47113642#2,,,,,
,47113636#0,,,,,
,164774173#5,,,,,
,136550178#0,,,,,
,-44886227#0,,,,,
,44886286#4,,,,,
,-147297543#0,,,,,
,44885597#5-AddedOnRampEdge,,,,,
,1056874644#2,,,,,
,47113636#6,,,,,
,149986655#0,,,,,
,71367225#0,,,,,
,-47113636#1,,,,,
,-1229890420,,,,,
,1057215448,,,,,
,47981652,,,,,
,796894969#1,,,,,
,190533567#0,,,,,
,579776240#1,,,,,
,-47113636#5,,,,,
,47981636#0,,,,,
,149852649#1,,,,,
,1066886864#1,,,,,
,-71367240#1,,,,,
,-1056876862,,,,,
,4857837,,,,,
,-47114116#0,,,,,
